time (s), R (V),time (s), S (V),time (s), T (V)
-1.59889e-05, -0.00294365, -1.59954e-05, -0.000341537, -1.59924e-05, 0.000313974
-1.59733e-05, -0.00147182, -1.59798e-05, -0.000142307, -1.59768e-05, -2.85431e-05
-1.59577e-05, -0.000113217, -1.59641e-05, -0.000256153, -1.59612e-05, -0.000256888
-1.59421e-05, 0.00158504, -1.59485e-05, -2.84614e-05, -1.59456e-05, -0.000342517
-1.59264e-05, 0.00237756, -1.59329e-05, -0.000341537, -1.59299e-05, -0.000142716
-1.59108e-05, 0.00317008, -1.59173e-05, -0.000455383, -1.59143e-05, -0.000485233
-1.58952e-05, 0.00283043, -1.59016e-05, -0.000569229, -1.58987e-05, -0.000114172
-1.58796e-05, 0.00317008, -1.5886e-05, -0.000455383, -1.58831e-05, 0
-1.58639e-05, 0.00317008, -1.58704e-05, -0.000227692, -1.58674e-05, 0.000114172
-1.58483e-05, 0.00317008, -1.58548e-05, -0.000227692, -1.58518e-05, 0.000114172
-1.58327e-05, 0.00249078, -1.58391e-05, 0, -1.58362e-05, 0.000342517
-1.58171e-05, 0.00226434, -1.58235e-05, 0, -1.58206e-05, -0.000114172
-1.58014e-05, 0.00147182, -1.58079e-05, 0.000227692, -1.58049e-05, -0.000570862
-1.57858e-05, 0.00059439, -1.57923e-05, 0.000113846, -1.57893e-05, -0.000228345
-1.57702e-05, 0.00019813, -1.57766e-05, 0.00079692, -1.57737e-05, -0.000342517
-1.57546e-05, 5.66086e-05, -1.5761e-05, 0.000569229, -1.57581e-05, -0.000342517
-1.57389e-05, -0.000141521, -1.57454e-05, 0.000569229, -1.57424e-05, -0.000570862
-1.57233e-05, -8.49129e-05, -1.57298e-05, 0.000882305, -1.57268e-05, -0.000656491
-1.57077e-05, -0.000141521, -1.57141e-05, 0.000654613, -1.57112e-05, -0.000799207
-1.56921e-05, -0.000622694, -1.56985e-05, 8.53843e-05, -1.56956e-05, -0.000485233
-1.56764e-05, -5.66086e-05, -1.56829e-05, 0.000313076, -1.56799e-05, -0.000856293
-1.56608e-05, 0.00019813, -1.56673e-05, 0.000113846, -1.56643e-05, -0.000799207
-1.56452e-05, 0.00039626, -1.56516e-05, -0.000569229, -1.56487e-05, -0.000313974
-1.56296e-05, 0.000141521, -1.5636e-05, -0.000683075, -1.56331e-05, 0
-1.56139e-05, 0, -1.56204e-05, -0.000683075, -1.56174e-05, 8.56293e-05
-1.55983e-05, 0.000141521, -1.56048e-05, -0.00079692, -1.56018e-05, 0.000856293
-1.55827e-05, 0.000141521, -1.55891e-05, -0.000683075, -1.55862e-05, 0.000799207
-1.55671e-05, 0, -1.55735e-05, -0.000683075, -1.55706e-05, 0.000342517
-1.55514e-05, 0.000254739, -1.55579e-05, -0.000227692, -1.55549e-05, 0.000342517
-1.55358e-05, 0.000254739, -1.55423e-05, -0.000683075, -1.55393e-05, 0.000428147
-1.55202e-05, -0.000537781, -1.55266e-05, -0.000455383, -1.55237e-05, 0.000313974
-1.55046e-05, -0.0013303, -1.5511e-05, -0.000455383, -1.55081e-05, -0.000485233
-1.54889e-05, -0.00212282, -1.54954e-05, -0.000341537, -1.54924e-05, -0.000256888
-1.54733e-05, -0.00249078, -1.54798e-05, -0.000227692, -1.54768e-05, 8.56293e-05
-1.54577e-05, -0.00260399, -1.54641e-05, 0, -1.54612e-05, 0.000199802
-1.54421e-05, -0.00215113, -1.54485e-05, 0, -1.54456e-05, 0.000199802
-1.54264e-05, -0.00147182, -1.54329e-05, -0.000113846, -1.54299e-05, 0.000428147
-1.54108e-05, -0.000905737, -1.54173e-05, 0.000113846, -1.54143e-05, 0.000428147
-1.53952e-05, 0.000113217, -1.54016e-05, 8.53843e-05, -1.53987e-05, 0.000884836
-1.53796e-05, 0.00181147, -1.5386e-05, -0.000142307, -1.53831e-05, 0.00168404
-1.53639e-05, 0.00317008, -1.53704e-05, 0.000540767, -1.53674e-05, 0.00316828
-1.53483e-05, 0.0039626, -1.53548e-05, 0.000426922, -1.53518e-05, 0.00465253
-1.53327e-05, 0.0039626, -1.53391e-05, 0.000540767, -1.53362e-05, 0.00442418
-1.53171e-05, 0.00407582, -1.53235e-05, 0.000654613, -1.53206e-05, 0.00282577
-1.53014e-05, 0.00384938, -1.53079e-05, 0.00079692, -1.53049e-05, 0.00134153
-1.52858e-05, 0.00283043, -1.52923e-05, 0.000683075, -1.52893e-05, -0.000142716
-1.52702e-05, 0.00147182, -1.52766e-05, 0.000113846, -1.52737e-05, -0.00117027
-1.52546e-05, 0.000226434, -1.5261e-05, 0.000683075, -1.52581e-05, -0.00162696
